How to burn US$10M on an ArXiv preprint, https://152334H.github.io/blog/scaling-exponents/
C Macro Reflection in Zig – Zig Has Better C Interop Than C Itself, https://jstrieb.github.io/posts/c-reflection-zig/
FTC Wins Round Two in Its Non-Compete Ban Defense, https://www.jdsupra.com/legalnews/ftc-wins-round-two-in-its-non-compete-4112148/
SAM 2: Segment Anything in Images and Videos, https://github.com/facebookresearch/segment-anything-2
New Linguistics Technique Could Reveal Who Spoke First Indo-European Languages, https://www.scientificamerican.com/article/new-linguistics-technique-could-reveal-who-spoke-the-first-indo-european-languages/
All I Know About Certificates – Certificate Authority, https://www.pixelstech.net/article/1722045726-All-I-Know-About-Certificates----Certificate-Authority
Diffusion Training from Scratch on a Micro-Budget, https://arxiv.org/abs/2407.15811
Canarytokens: Honeypot for critical credentials, get notified when they are used (2015), https://canarytokens.org/nest/
The Infinity Machine, https://www.chiark.greenend.org.uk/~sgtatham/infinity.html
A Visual Guide to LLM Quantization, https://newsletter.maartengrootendorst.com/p/a-visual-guide-to-quantization
Lewis Lapham has died, https://www.nytimes.com/2024/07/24/business/media/lewis-h-lapham-dead.html
FastHTML – Modern web applications in pure Python, https://fastht.ml/
Rust Port for Fish Shell Is Almost Ready for a Beta Release, https://news.itsfoss.com/fish-shell-rust-beta/
Four billion years in four minutes – Simulating worlds on the GPU, https://davidar.io/post/sim-glsl
Orca: WebAssembly Apps Without the Web, https://orca-app.dev/index.html
Butterflies accumulate static electricity to attract pollen without contact, https://www.bristol.ac.uk/news/2024/july/butterflies-static-electricity.html
Third-party cookies have got to go, https://www.w3.org/blog/2024/third-party-cookies-have-got-to-go/
Jiga (YC W21) Is Hiring a Full Stack Engineer, https://www.ycombinator.com/companies/jiga/jobs/KMtdgpo-full-stack-engineer
LG and Samsung are making TV screens disappear, https://spectrum.ieee.org/transparent-tv
Building a YouTube Video Summarizer with LLM and yt-dlp, https://shekhargulati.com/2024/07/30/building-a-youtube-video-summarizer-with-llm-and-yt-dlp/
AI and the Next Computing Platforms with Jensen Huang and Mark Zuckerberg, https://www.youtube.com/watch?v=w-cmMcMZoZ4
Microjs, http://microjs.com/
OpenSSL bug exposed up to 255 bytes of server heap and existed since 2011, https://jbp.io/2024/06/27/cve-2024-5535-openssl-memory-safety.html
Hackers Exploited a PC Driving SIM to Pull Off Disney Data Breach, https://www.thedrive.com/news/culture/hackers-exploited-a-pc-driving-sim-to-pull-off-massive-disney-data-breach
Show HN: Create diagrams of complex data flows in software systems, https://github.com/jodigiordano/gg
Ask HN: What are you using to parse PDFs for RAG?, item?id=41072632
Video is a language for making movies, https://lang.video/
Movable tree CRDTs and Loro's implementation, https://loro.dev/blog/movable-tree
PGP: The software that changed Internet Privacy and Cryptography, https://www.youtube.com/watch?v=0kcDBe6AkQE
Implementing the "one or more" UI component, https://verbnounenter.net/one-or-more
